date,tercile,n,base_med,ex120,ex60,win
20250820,1,27,82.0,-0.27467321265736294,-0.07724282483408411,0.037037037037037035
20250820,2,29,269.0,0.0014936574426158088,0.1648178176067333,0.06896551724137931
20250827,0,27,35.0,-0.3501536164772929,-0.05902521094268482,0.1111111111111111
20250827,1,24,100.0,-0.4024328995847865,-0.11286548557192232,0.041666666666666664
20250827,2,26,292.0,-0.16101530645021478,-0.03120771023593105,0.038461538461538464
20250903,0,28,36.5,-0.44740939700216187,-0.191685599876428,0.03571428571428571
20250903,1,27,74.0,-0.1930819011098718,-0.06478649225293524,0.1111111111111111
20250903,2,28,271.5,-0.3323930607870215,-0.12574088429088187,0.0
20250910,0,40,38.5,-0.3969120852905843,-0.21776842051442974,0.075
20250910,1,40,123.5,-0.22114268406807785,-0.07639812150820016,0.05
20250910,2,40,293.5,-0.10672970048898814,-0.07072167883221558,0.075
20250917,0,52,39.5,-0.31253540093321897,-0.11143325418906613,0.057692307692307696
20250917,1,53,142.0,-0.09807606863906873,-0.015505125969157072,0.09433962264150944
20250917,2,52,317.5,0.004820168227347533,-0.04994694641892649,0.07692307692307693
20250924,0,61,43.0,-0.24229921643207744,-0.08662010990246981,0.04918032786885246
20250924,1,58,173.5,-0.04291760534407795,0.019984141628953005,0.05172413793103448
20250924,2,60,333.0,0.08098254999543403,-0.03129585264377293,0.06666666666666667
20251001,0,52,44.0,-0.21313941123975452,-0.09064477718559297,0.019230769230769232
20251001,1,53,234.0,-0.003890722469154882,0.03555946264147562,0.05660377358490566
20251001,2,51,351.0,0.06308877405258025,-0.0024351908170849998,0.058823529411764705
20251015,0,51,51.0,-0.15939191453962553,0.019051814674992756,0.0392156862745098
20251015,1,52,281.5,0.14471427695128475,-0.06757607514578116,0.09615384615384616
20251015,2,50,359.0,0.08514224843988596,0.017781799917547834,0.06
20251022,0,57,48.0,-0.17580683207142514,0.020995073775266205,0.03508771929824561
20251022,1,58,224.0,0.08466945079489098,-0.05406629968444716,0.10344827586206896
20251022,2,57,349.0,0.2507230297810795,0.08827116307453338,0.08771929824561403
20251029,0,54,45.5,-0.0818551808785431,-0.11193129358701787,0.1111111111111111
20251029,1,51,176.0,0.11744687687286044,-0.004496013792602197,0.1568627450980392
20251029,2,53,332.0,0.7062337646863085,0.20025345203637565,0.07547169811320754
20251105,0,56,43.5,-0.07354287985126685,-0.1658865035399324,0.07142857142857142
20251105,1,55,120.0,0.21098198758500333,0.023755561335831437,0.18181818181818182
20251105,2,55,337.0,0.6821182816670125,0.16806207893250444,0.16363636363636364
20251112,0,60,44.5,-0.09627096166654246,-0.06076270024130358,0.08333333333333333
20251112,1,59,140.0,0.08765021538034151,0.0026721290784770557,0.1694915254237288
20251112,2,60,343.5,0.5915398055102314,0.2145415432506608,0.18333333333333332
20251119,0,42,43.0,-0.1937635919249182,-0.11777646280415761,0.047619047619047616
20251119,1,41,120.0,-0.2615379147327344,-0.1378370096024952,0.04878048780487805
