h,rule,decile,n,win_lift,mean_ex_idx,med_ex_idx,p_beat_idx,mean_ex_ew,med_ex_ew,p_beat_ew,p_lt_m30
120,R4_고베타단독,10,85666,1.6595819678907657,-0.03755513905508041,-0.14106017077401156,0.3335278873765555,0.11778932811692128,-0.018598435741369324,0.4746690635724792,0.28133681974178787
120,R5_mom12_1단독,1,53229,1.0252275998010172,-0.1681858685431067,-0.22323098899330218,0.2643108080181856,0.017931296084256147,-0.0801917808219178,0.3998196471848053,0.4022055646358188
120,R5_mom12_1단독,2,53475,1.0031247770376004,-0.1440817429648006,-0.18617842200021428,0.2901916783543712,0.0725553304169175,-0.01681710377362544,0.47381019167835436,0.35575502571295
120,R5_mom12_1단독,3,53471,1.0107597258938388,-0.14838051527601892,-0.18410467713198497,0.2830693272989097,0.08569425687840114,-0.008065425831923378,0.48587084587907464,0.360494473639917
120,R5_mom12_1단독,4,53485,0.9031725570993733,-0.15396156256393245,-0.183451584819448,0.2798167710573058,0.0976487295450787,0.012100470157307641,0.5214546134430214,0.36038141535009816
120,R5_mom12_1단독,5,53555,0.8068866117364305,-0.16529915153866998,-0.18818438147108063,0.2725235738959948,0.09369441786058494,0.01602218226804064,0.5276631500326767,0.3675473811969004
120,R5_mom12_1단독,6,53555,0.8612325762313071,-0.16175054731223534,-0.18914241655032837,0.27108579964522456,0.09785589785250584,0.013372321235616491,0.5252357389599477,0.36345812715899545
120,R5_mom12_1단독,7,53484,0.9356891477180123,-0.14978316419634524,-0.1821459076598846,0.27486725001869716,0.10898741487668413,0.018595870563755168,0.5333557699498915,0.355227731658066
120,R5_mom12_1단독,8,53472,1.151352486072851,-0.12999253740836655,-0.1684694345514312,0.30180281268701376,0.1320645823981292,0.03395730565749308,0.5500448833034112,0.35637342908438063
120,R5_mom12_1단독,9,53475,1.6668350665922451,-0.09678641617289768,-0.16783074561275135,0.320822814399252,0.15695433833922878,0.030051232332949596,0.5414679756895746,0.3590836839644694
120,R5_mom12_1단독,10,53648,2.40365412555214,-0.07223781946844693,-0.18257929781967952,0.33607963018192666,0.16193584092330002,0.0008612345997270343,0.5010811213838354,0.383891291380853
120,"R6_쉬는말(cold: mom126↑, mom63<10%)",1,45508,0.9744368654930798,-0.10109310909156026,-0.15327671215961447,0.32833787465940056,0.04308261014923249,-0.04349346175275354,0.4432407488793179,0.3251076733761097
120,"R6_쉬는말(cold: mom126↑, mom63<10%)",2,45825,0.7083500021834451,-0.11805752123058832,-0.1489348912436501,0.30127659574468085,0.04930886668277503,-0.019133890479808402,0.46812875068194215,0.29123840698308784
120,"R6_쉬는말(cold: mom126↑, mom63<10%)",3,45834,0.6350085370081406,-0.12573062871135515,-0.14213445818189496,0.301762883448968,0.05669790835322693,-0.0049291157501880345,0.4904219574988,0.29185757298075665
120,"R6_쉬는말(cold: mom126↑, mom63<10%)",4,45836,0.7090619258917608,-0.11973321137642101,-0.13185087506133286,0.31158914390435466,0.07615422019085767,0.010276207059852216,0.5181298542630247,0.2779474648747709
120,"R6_쉬는말(cold: mom126↑, mom63<10%)",5,45928,0.6266676668760692,-0.11871791335084902,-0.124237587112707,0.3073070893572548,0.08380777304576127,0.019573503302759337,0.5389522731231493,0.2692692910642745
120,"R6_쉬는말(cold: mom126↑, mom63<10%)",6,45925,0.616146098701439,-0.12039440827868406,-0.12524750352875502,0.31098530212302666,0.08671969152870763,0.020752196394612343,0.5419706042460534,0.2711594991834513
120,"R6_쉬는말(cold: mom126↑, mom63<10%)",7,45837,0.6190928017344142,-0.12329568436180322,-0.12453347009942806,0.30671728079935423,0.08845038185252282,0.023125313143684267,0.5463926522241856,0.27008748391037807
120,"R6_쉬는말(cold: mom126↑, mom63<10%)",8,45834,0.7152665604355585,-0.11864712616044307,-0.12697129379369193,0.3069118994632805,0.09423923505079641,0.023684271835390153,0.5446393507003534,0.26761792555744646
120,"R6_쉬는말(cold: mom126↑, mom63<10%)",9,45828,0.9985052446976141,-0.09105462471226286,-0.11344681521606298,0.336628262197783,0.11462129777951181,0.03321897029573989,0.5527188618311949,0.26110674696691977
