rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
115,007660,KOSPI,0.896,1093,이수페타시스,반도체·전자부품,,8.16,0.0723,-31.2,43.3,33.7,669.3,-8.7,-1015.4,153.6,1973.4,0,0,
116,207940,KOSPI,0.895,1093,삼성바이오로직스,제약·바이오,WATCH,66.98,0.0335,-26.4,-1.6,-4.4,756.8,-9.2,1509.7,-292.8,-260.4,0,0,유상증자 08/28
117,036530,KOSPI,0.894,1093,SNT홀딩스,금융(은행),WATCH,0.74,0.0238,-48.8,-12.9,-6.5,5.1,-6.4,-19.1,-3.2,-11.5,0,0,
118,300720,KOSPI,0.893,1093,한일시멘트,비금속광물(시멘트·유리),,1.23,0.0265,-20.6,-27.0,13.2,15.8,1.0,-1.4,32.6,64.4,0,0,
119,067630,KOSDAQ,0.892,1093,,,,0.33,0.0764,-47.9,-36.8,13.5,7.5,-5.1,-1.5,0.0,0.0,0,0,
120,319660,KOSDAQ,0.891,1093,피에스케이,기계·장비,,3.66,0.084,-40.2,545.6,4.4,356.9,321.6,871.5,-272.3,-798.4,0,0,
121,051900,KOSPI,0.89,1093,LG생활건강,화학,,4.4,0.0333,-11.8,-2.5,-9.3,263.8,25.8,345.0,61.7,521.5,0,0,
122,445680,KOSDAQ,0.889,1093,큐리옥스바이오시스템즈,의료·정밀·광학,,0.82,0.0797,-65.9,5.1,13.5,67.4,-36.0,-166.2,-22.3,1.6,0,0,
123,004170,KOSPI,0.888,1093,신세계,소매,OBSERVE,3.61,0.053,-50.7,160.0,-10.5,358.6,-165.2,148.0,-140.7,-605.3,0,0,
124,251270,KOSPI,0.887,1093,넷마블,출판·SW,WATCH,3.02,0.0286,-46.6,-37.2,-6.9,50.9,6.0,100.2,-6.3,-92.5,0,0,
125,064820,KOSDAQ,0.887,1093,케이프,조선·기타운송,WATCH,0.23,0.0449,-55.5,15.3,-14.5,5.6,-4.7,-6.5,0.0,0.0,0,0,
126,009970,KOSPI,0.886,1093,영원무역홀딩스,금융(은행),WAIT,2.21,0.034,-31.6,56.6,-15.8,22.7,8.7,12.9,-3.6,-41.8,0,0,
