anchor,rate,n,mk20
20250630,0.009829619921363041,1526,2.9302623160588626
20250701,0.009810333551340745,1529,2.651626322304046
20250702,0.008469055374592834,1535,2.748763056624526
20250703,0.005221932114882507,1532,1.501266812045432
20250704,0.006535947712418301,1530,-0.387986594483114
20250707,0.006561679790026247,1524,0.7193690106106709
20250708,0.006574621959237344,1521,1.8310721207793534
20250709,0.007198952879581152,1528,1.6612682828078373
20250710,0.006565988181221274,1523,1.0166729346872128
20250711,0.007270323859881031,1513,1.0993541294489484
20250714,0.0072992700729927005,1507,1.5612294682062045
20250715,0.007348029392117568,1497,-0.6999803168979413
20250716,0.00533689126084056,1499,0.23023035347131682
20250717,0.008655126498002663,1502,-0.3678492429149305
20250718,0.005980066445182724,1505,-2.7562844992506164
20250721,0.0053583389149363695,1493,-4.104954423200969
20250722,0.005420054200542005,1476,-4.3494839907991745
20250723,0.006155950752393981,1462,-4.4643296130586485
20250724,0.006202618883528601,1451,-3.3807060218054352
20250725,0.008333333333333333,1440,-1.1066360988908897
20250728,0.006237006237006237,1443,-0.34062655395326047
20250729,0.006289308176100629,1431,-0.3393622972217014
20250730,0.009880028228652082,1417,-0.6520089091293757
20250731,0.007067137809187279,1415,-1.0344741940291113
20250801,0.01132342533616419,1413,1.5799893890966477
20250804,0.01059322033898305,1416,1.267760120398953
20250805,0.009200283085633405,1413,-0.22414224893564372
20250806,0.007178750897343862,1393,0.24020211825908078
20250807,0.006550218340611353,1374,0.693711917201334
20250808,0.009502923976608187,1368,1.1528908769631974
20250811,0.01611721611721612,1365,1.5975857609164201
20250812,0.022058823529411766,1360,3.197512357685306
20250813,0.022861356932153392,1356,2.5377717725095117
20250814,0.025278810408921933,1345,3.9030493339548222
20250818,0.02539208364451083,1339,6.846688803959666
20250819,0.029940119760479042,1336,8.107010508147617
20250820,0.03313253012048193,1328,8.734455575416987
20250821,0.04150943396226415,1325,10.276105192733255
20250822,0.0382262996941896,1308,10.300187857024202
20250825,0.035034272658035034,1313,9.566176286308625
20250826,0.03666921313980138,1309,8.800488985355393
20250827,0.03522205206738132,1306,7.386618769645259
20250828,0.027820710973724884,1294,6.769535212855238
20250829,0.023291925465838508,1288,4.803553726267729
20250901,0.028771384136858476,1286,7.8611464968152855
20250902,0.02574102964118565,1282,6.044080604534008
20250903,0.029019607843137254,1275,6.090536012349257
20250904,0.029921259842519685,1270,6.062675374338866
20250905,0.03622047244094488,1270,5.926793196943558
20250908,0.037914691943127965,1266,5.11727339359882
20250909,0.02444794952681388,1268,2.805460585339836
20250910,0.027365129007036748,1279,3.807923169267702
20250911,0.02336448598130841,1284,3.671714025588191
20250912,0.01791277258566978,1284,1.470935448835986
20250915,0.02109375,1280,2.706728119246149
20250916,0.019409937888198756,1288,2.4253380916604117
20250917,0.017982799061767005,1279,3.97620427424219
20250918,0.017027863777089782,1292,1.7407333947801362
20250919,0.01841903300076746,1303,2.313725944549372
20250922,0.022053231939163497,1315,3.24122786952743
20250923,0.019593067068575734,1327,3.56450854725352
20250924,0.02237136465324385,1341,4.72158338560178
20250925,0.023809523809523808,1344,4.502158408408419
20250926,0.03345724907063197,1345,7.810198876902241
20250929,0.036845983787767135,1357,8.012188352564632
20250930,0.037694013303769404,1353,10.045249943586043
20251001,0.027387120651369355,1351,6.689616012492006
20251002,0.01918819188191882,1355,5.141352063213334
20251010,0.014545454545454545,1375,2.0151485183073525
20251013,0.017391304347826087,1380,3.237690153284767
20251014,0.020773638968481375,1396,4.282041605736109
20251015,0.01859799713876967,1398,4.832778240355262
20251016,0.017191977077363897,1396,6.119642712702644
20251017,0.01638176638176638,1404,4.462852223282221
20251020,0.017142857142857144,1400,3.0715827214907954
20251021,0.014316392269148175,1397,0.7106017191977232
20251022,0.00995732574679943,1406,-0.8906329977819372
20251023,0.014275517487508922,1401,2.283178331020741
20251024,0.009312320916905445,1396,-2.166281650586588
20251027,0.007862759113652609,1399,-5.12462612163509
20251028,0.00724112961622013,1381,-5.233034429314731
20251029,0.011577424023154847,1382,-2.691910957308752
20251030,0.015206372194062274,1381,-1.2123116988078997
20251031,0.017391304347826087,1380,1.3604762222074074
20251103,0.01588447653429603,1385,0.8561587666065407
20251104,0.017266187050359712,1390,0.19966111572788936
20251105,0.023960535588442564,1419,3.3396533945381446
20251106,0.02679830747531735,1418,3.524945166282567
20251107,0.02959830866807611,1419,5.466406633136045
20251110,0.02461322081575246,1422,4.439691563010073
20251111,0.023387668320340185,1411,5.324165695997829
20251112,0.020655270655270654,1404,3.1428224730008614
20251113,0.02223816355810617,1394,1.771617104217249
20251114,0.02830188679245283,1378,4.39247132197349
20251117,0.025491624180626365,1373,4.005893626685286
20251118,0.02852962692026335,1367,4.257425742574261
20251119,0.023408924652523776,1367,4.562043795620441
20251120,0.024926686217008796,1364,1.0527613965064964
20251121,0.028085735402808575,1353,5.94015857399155
20251124,0.03353204172876304,1342,8.488627341086353
20251125,0.03345724907063197,1345,7.421468873754411
20251126,0.03169811320754717,1325,4.31769479779327
20251127,0.03058103975535168,1308,4.5008294888984945
20251128,0.02916346891788181,1303,2.1826070759420224
20251201,0.02474864655839134,1293,0.33500292721004854
20251202,0.028771384136858476,1286,1.8472243165808644
20251203,0.03203125,1280,2.734949195824088
20251204,0.03058823529411765,1275,2.8112665756105937
20251205,0.031421838177533384,1273,2.4493371109717277
20251208,0.0264797507788162,1284,1.7536295929035717
20251209,0.028928850664581705,1279,1.7791378107048894
20251210,0.026771653543307086,1270,1.5839572192513307
20251211,0.024294670846394983,1276,1.5342805786185076
20251212,0.022029897718332022,1271,0.5163547912176991
20251215,0.02966432474629196,1281,1.3133368128415146
20251216,0.03557617942768755,1293,4.200368951326805
20251217,0.04977029096477795,1306,6.288210565598695
20251218,0.052187260168841135,1303,8.325474576459225
20251219,0.054615384615384614,1300,3.935450741311297
20251222,0.03902065799540933,1307,4.435284241341453
20251223,0.04420731707317073,1312,8.087563617382232
20251224,0.05034324942791762,1311,16.303540209790214
20251226,0.05139833711262283,1323,17.715049963573893
20251229,0.04640718562874251,1336,21.545373636860777
20251230,0.06437125748502993,1336,25.81823289787892
20260102,0.04744255003706449,1349,21.560540203263635
20260105,0.0363232023721275,1349,14.71122715404698
20260106,0.05286343612334802,1362,19.70354718244296
20260107,0.06486880466472303,1372,21.325958686496605
20260108,0.06027596223674655,1377,17.408851132343294
20260109,0.05228758169934641,1377,14.01489577179509
20260112,0.0617816091954023,1392,18.713216327476022
20260113,0.05886575735821967,1393,17.5156483803663
20260114,0.059370529327610874,1398,18.328769449574377
20260115,0.056227758007117434,1405,18.380714075444725
20260116,0.05689900426742532,1406,15.869640369163719
20260119,0.07294617563739376,1412,19.86348052377216
20260120,0.06843575418994413,1432,18.192898184090044
20260121,0.0837370242214533,1445,21.097667377981487
20260122,0.07162346521145975,1466,20.059772247127317
20260123,0.06089309878213803,1478,17.236626321773162
20260126,0.05752508361204013,1495,11.625219605227311
20260127,0.05036447978793903,1509,10.178368542107364
20260128,0.03662524525833878,1529,0.3687627920107239
20260129,0.012210796915167094,1556,-15.971178536769692
20260130,0.027528809218950064,1562,-2.8735732182628038
20260202,0.04185161699429296,1577,5.126734404020561
20260203,0.0251414204902577,1591,-3.6746393085910545
20260204,0.025561097256857856,1604,-1.0222458087921882
20260205,0.033971587399629403,1619,2.5640331646231918
20260206,0.038953134510042606,1643,6.257575617383915
20260209,0.03333333333333333,1650,2.253558600505534
20260210,0.032569360675512665,1658,2.070480631276883
20260211,0.029958058717795086,1669,1.9796030030407197
20260212,0.032777115613825986,1678,3.409444133606887
20260213,0.035545023696682464,1688,3.3813105742803495
20260219,0.03169014084507042,1704,0.06978487305182579
20260220,0.024547048509643482,1711,-4.948873483535521
20260223,0.02149912841371296,1721,-2.6519327424717187
20260224,0.03054755043227666,1735,-0.4678111587982925
20260225,0.022844089091947458,1751,-2.455267110062209
20260226,0.027699265121537593,1769,-3.925430290788212
20260227,0.026936026936026935,1782,-7.187410922383009
20260303,0.02121719709659408,1791,-7.498461808912715
20260304,0.05813953488372093,1806,14.077511140182342
20260305,0.0329608938547486,1790,-5.3806397291317865
20260306,0.032492997198879554,1785,-7.8741112179237405
20260309,0.03609701071630006,1773,-4.981492905613827
20260310,0.027303754266211604,1758,-8.873321144785884
20260311,0.02508551881413911,1754,-4.132544003940786
20260312,0.025200458190148912,1746,-6.304423545802862
20260313,0.02827466820542412,1733,-5.145885373300018
20260316,0.033760186263096625,1718,-3.377873828286293
20260317,0.03571428571428571,1708,-1.32460815874188
20260318,0.038869257950530034,1698,-1.0262972569092588
20260319,0.043969102792632206,1683,1.7044460768880887
20260320,0.03889886295631358,1671,0.7335215923961691
20260323,0.052884615384615384,1664,7.107367192699332
20260324,0.04878048780487805,1640,5.135361677842765
20260325,0.041079092581238506,1631,1.8602043896339016
20260326,0.043668122270742356,1603,3.3141539977477263
20260327,0.05233291298865069,1586,5.460311341994362
20260330,0.07859424920127796,1565,10.76103157038979
20260331,0.09161793372319688,1539,15.506608766711949
20260401,0.06859448554135844,1487,9.324660896987936
20260402,0.0840677966101695,1475,12.875589298899982
20260403,0.08701563562202583,1471,14.10011750881317
20260406,0.10401087695445276,1471,15.543695160258576
20260407,0.10692254969156957,1459,15.669460708188243
20260408,0.07186858316221766,1461,10.815249805019045
20260409,0.08395396073121192,1477,12.206319702602219
20260410,0.06001348617666891,1483,7.83263078006271
20260413,0.06405933917734322,1483,7.009201338376503
20260414,0.058784235136940546,1497,6.169108995614492
20260415,0.04087013843111404,1517,-1.9619412892757149
20260416,0.031901041666666664,1536,-4.460992115015872
20260417,0.022786458333333332,1536,-7.322826570031804
20260420,0.021400778210116732,1542,-10.110226837468616
20260421,0.028423772609819122,1548,-6.196619254811154
20260422,0.031511254019292605,1555,-1.6924613925765164
20260423,0.03720333547145606,1559,-0.15242993758036727
20260424,0.03143040410519564,1559,-5.873704146730452
20260427,0.025591810620601407,1563,-9.934919832324795
20260428,0.024699176694110196,1579,-11.581302752595468
20260429,0.020741671904462602,1591,-13.95030567256159
20260430,0.017710309930423784,1581,-13.948924393005402
20260504,0.01813633520950594,1599,-13.512778684067428
20260506,0.01353846153846154,1625,-17.165356933323416
20260507,0.010365853658536586,1640,-23.99889924781935
20260508,0.010948905109489052,1644,-19.864703739277324
20260511,0.009691096305269533,1651,-21.179618003213672
20260512,0.012711864406779662,1652,-15.463541622501676
20260513,0.011411411411411412,1665,-12.564893409123744
20260514,0.009615384615384616,1664,-13.18624117405066
20260515,0.00963275135460566,1661,-9.83696518029421
20260518,0.012658227848101266,1659,-7.121835314870973
20260519,0.015151515151515152,1650,-7.6939392821572135
20260520,0.013349514563106795,1648,-8.472923196379023
20260521,0.01212856276531231,1649,-12.438854580142323
20260522,0.004857316332726169,1647,-23.219622264518193
20260526,0.00425531914893617,1645,-22.448231160236077
20260527,0.003629764065335753,1653,-21.649766575768016
20260528,0.00424757281553398,1648,-22.908290774747353
20260529,0.005501222493887531,1636,-14.349646445850384
20260601,0.008567931456548347,1634,-12.747254840337895
20260602,0.012269938650306749,1630,-9.422726431001038
20260604,0.006806930693069307,1616,-17.434006839854057
20260605,0.006285355122564425,1591,-13.370376281872243
20260608,0.009596928982725527,1563,-7.057351956900993
20260609,0.004530744336569579,1545,-14.112274103388057
20260610,0.005242463958060288,1526,-17.50995660077972
20260611,0.005351170568561873,1495,-20.355491358470502
20260612,0.0047522063815342835,1473,-18.62105825761625
20260615,0.003419972640218878,1462,-22.69469938009535
