date,ticker,opinion_score,opinion_label,target_price,coverage,fetched_at
20260912,001200,,,,0,20260912_0128
20260912,001210,,,,0,20260912_0128
20260912,001230,,,,0,20260912_0128
20260912,001250,,,,0,20260912_0129
20260912,001260,,,,0,20260912_0129
20260912,001270,,,,0,20260912_0129
20260912,001275,,,,0,20260912_0129
20260912,001290,,,,0,20260912_0129
20260912,001340,,,,0,20260912_0129
20260912,001360,,,,0,20260912_0129
20260912,001380,,,,0,20260912_0129
20260912,001390,,,,0,20260912_0129
20260912,001420,,,,0,20260912_0129
20260912,001430,,,,0,20260912_0129
20260912,001440,,,,0,20260912_0129
20260912,001450,,,,0,20260912_0129
20260912,001460,,,,0,20260912_0129
20260912,001465,,,,0,20260912_0129
20260912,001500,,,,0,20260912_0129
20260912,001510,,,,0,20260912_0129
20260912,001515,,,,0,20260912_0129
20260912,001520,,,,0,20260912_0129
20260912,001525,,,,0,20260912_0129
20260912,001527,,,,0,20260912_0129
20260912,001530,,,,0,20260912_0129
20260912,001540,,,,0,20260912_0129
20260912,001550,,,,0,20260912_0129
20260912,001560,,,,0,20260912_0129
20260912,001620,,,,0,20260912_0129
20260912,001630,,,,0,20260912_0129
20260912,001680,,,,0,20260912_0129
20260912,001685,,,,0,20260912_0129
20260912,001720,,,,0,20260912_0129
20260912,001740,,,,0,20260912_0129
20260912,001750,,,,0,20260912_0129
20260912,001755,,,,0,20260912_0129
20260912,001770,,,,0,20260912_0129
20260912,001780,,,,0,20260912_0129
20260912,001790,,,,0,20260912_0129
20260912,001795,,,,0,20260912_0129
20260912,001800,,,,0,20260912_0129
20260912,001810,,,,0,20260912_0129
20260912,001820,,,,0,20260912_0129
20260912,001940,,,,0,20260912_0129
20260912,002020,,,,0,20260912_0129
20260912,002025,,,,0,20260912_0129
20260912,002030,,,,0,20260912_0129
20260912,002070,,,,0,20260912_0129
20260912,002100,,,,0,20260912_0129
20260912,002140,,,,0,20260912_0129
20260912,002150,,,,0,20260912_0129
20260912,002170,,,,0,20260912_0129
20260912,002200,,,,0,20260912_0129
20260912,002210,,,,0,20260912_0129
20260912,002220,,,,0,20260912_0129
20260912,002230,,,,0,20260912_0129
20260912,002240,,,,0,20260912_0129
20260912,002290,,,,0,20260912_0129
20260912,002310,,,,0,20260912_0129
20260912,002320,,,,0,20260912_0129
20260912,002350,,,,0,20260912_0129
20260912,002355,,,,0,20260912_0129
20260912,002360,,,,0,20260912_0129
20260912,002380,,,,0,20260912_0129
20260912,002390,,,,0,20260912_0129
20260912,002420,,,,0,20260912_0129
20260912,002450,,,,0,20260912_0129
20260912,002460,,,,0,20260912_0129
20260912,002600,,,,0,20260912_0129
20260912,002620,,,,0,20260912_0129
20260912,002680,,,,0,20260912_0129
20260912,002690,,,,0,20260912_0129
20260912,002700,,,,0,20260912_0129
20260912,002710,,,,0,20260912_0129
20260912,002720,,,,0,20260912_0129
20260912,002760,,,,0,20260912_0129
20260912,002780,,,,0,20260912_0129
20260912,002785,,,,0,20260912_0129
20260912,002787,,,,0,20260912_0129
20260912,002790,,,,0,20260912_0129
20260912,002795,,,,0,20260912_0129
20260912,002800,,,,0,20260912_0129
20260912,002810,,,,0,20260912_0129
20260912,002820,,,,0,20260912_0129
