inv,w,norm,uni,h,n,ic,lo,hi,pos
person,60,amt,대형30%,10,65,0.016703152973948594,-0.002955773890856218,0.03454242659616011,0.6307692307692307
person,60,amt,대형30%,20,55,0.021828008050007564,-0.003904380210471193,0.04612607425480887,0.6545454545454545
person,60,amt,중소형,5,60,0.018898435450409205,-0.0005255495780627682,0.0340974492856231,0.6666666666666666
person,60,amt,중소형,10,55,0.03043322727016262,0.006046369487045956,0.0546096170229913,0.7090909090909091
person,60,amt,중소형,20,45,0.0351251282431324,-0.0023283244812663624,0.06091758803440829,0.7333333333333333
person,60,mcap,전체,5,70,0.01002007331369837,-0.004516059623223526,0.022137354555343644,0.6285714285714286
person,60,mcap,전체,10,65,0.014727310131209497,0.0005013922304861186,0.029856274512829937,0.6307692307692307
person,60,mcap,전체,20,55,0.009191076609456979,-0.011915367958717204,0.029145344615780784,0.509090909090909
person,60,mcap,대형30%,5,70,0.01321783791584338,-0.015761527886172383,0.03993982176990004,0.5142857142857142
person,60,mcap,대형30%,10,65,0.014962836607432878,-0.009290928276979457,0.036443191391613054,0.6307692307692307
person,60,mcap,대형30%,20,55,0.012992497398169527,-0.019988103705508267,0.049628420361936106,0.5636363636363636
person,60,mcap,중소형,5,60,0.006582787641047067,-0.015953007841728883,0.02117954104513959,0.43333333333333335
person,60,mcap,중소형,10,55,0.020154879717778955,-0.010738589372964442,0.04900832550367995,0.6
person,60,mcap,중소형,20,45,0.020587692774734215,-0.022698712649052467,0.051631241536618196,0.6
person,60,none,전체,5,70,0.009924656297688768,-0.00850610627629002,0.024681432910004523,0.6285714285714286
person,60,none,전체,10,65,0.012143958937632128,-0.002288895388596795,0.025598523209904557,0.676923076923077
