combo,h,cut,n,ic,lo,hi,pos
lv60+nh252,60,regime_반등,48,0.20486932332603783,0.13927481888754387,0.25802999967391166,0.9583333333333334
lv60+nh252,60,regime_약세,188,0.19212445160522476,0.1508976099548641,0.22765452858952998,0.8829787234042553
lv60+nh252,60,top50_excess,29,0.07689858878840383,0.057578236639508514,0.09487017659180089,0.8709677419354839
to20,5,all_monthly,31,0.10454847620467021,0.057274580051257795,0.15205326275934766,0.8387096774193549
to20,5,year_2024,12,0.08421427298173123,0.03304586222423604,0.13772135096429186,0.8333333333333334
to20,5,year_2025,12,0.15695316138797394,0.0789986513378865,0.23558525802938834,0.9166666666666666
to20,5,year_2026,7,0.04957050712975925,-0.0665812926735732,0.14873843284331612,0.7142857142857143
to20,5,regime_강세,297,0.10749636990876583,0.09044231862212325,0.13112138478448396,0.8653198653198653
to20,5,regime_조정,56,0.13478100048699987,0.06070640560507259,0.1936416207389683,0.8571428571428571
to20,5,regime_반등,60,0.12282776036335588,0.08821625464138903,0.17250388989292148,0.8333333333333334
to20,5,regime_약세,231,0.11657479078630932,0.07597231396221411,0.1577442769193988,0.7792207792207793
to20,5,top50_excess,31,0.010176461575255383,0.004303627909243955,0.01539412988100611,0.6774193548387096
to20,20,all_monthly,30,0.17119046033395102,0.12128145293260889,0.22437587093593422,0.8666666666666667
to20,20,year_2024,12,0.16053053668801906,0.08896394719547632,0.2259486904336364,0.8333333333333334
to20,20,year_2025,12,0.15060910182074053,0.07203944168660528,0.23779782550501424,0.8333333333333334
to20,20,year_2026,6,0.23367302465223597,0.09622064014570592,0.3713495411080643,1.0
to20,20,regime_강세,297,0.17302265951384763,0.14728099936408118,0.19745745768968007,0.9393939393939394
to20,20,regime_조정,56,0.12693729268353446,0.06794453690410265,0.16659665646297564,0.8928571428571429
to20,20,regime_반등,48,0.16309640584641244,0.11294735542879016,0.22912362164067804,0.8958333333333334
to20,20,regime_약세,228,0.16800797777245605,0.12866046038084564,0.21489311182735976,0.8596491228070176
to20,20,top50_excess,30,0.03678171420415611,0.020679284000642024,0.0557820421738108,0.7741935483870968
to20,60,all_monthly,29,0.22130384380511242,0.18112464326731417,0.2650210774046826,1.0
to20,60,year_2024,12,0.1998846310989388,0.1427369227328316,0.24990538496302186,1.0
to20,60,year_2025,12,0.20918279029125497,0.15256092379647707,0.27445627977456527,1.0
to20,60,year_2026,5,0.3018004827331873,0.18024740677304243,0.4204798455626225,1.0
to20,60,regime_강세,297,0.1974606381491925,0.17442048728037532,0.21843106717725705,0.98989898989899
to20,60,regime_조정,56,0.26235149476227065,0.21917548481970314,0.29483805314021433,1.0
to20,60,regime_반등,48,0.2378560155935238,0.18016291464607995,0.28832145742862664,1.0
