factor,h,ic,lo,hi,n,pos,ic_강세,ic_조정,ic_반등,ic_약세,ic_2024,ic_2025,ic_2026,ic_KOSPI,ic_KOSDAQ,robust,ic_avoid_loss
range_pos60,20,-0.026031683327824677,-0.04559737942934555,0.005264545120039704,629,0.4133545310015898,0.002250010092513333,-0.012173548041288352,0.0035417120469203914,-0.07250204078341319,-0.049112634448729445,-0.003931421514758541,-0.024049244763217945,-0.025014391166302687,-0.035036791668957824,False,-0.0863053292410552
range_pos60,40,-0.013579669086899157,-0.04063445515969897,0.02435628706326707,609,0.451559934318555,0.01001238626802499,0.012682750515016094,-0.011899621028394675,-0.054724756802898865,-0.04322038937158711,0.013104624591805288,-0.007280996898139906,-0.011765876268669663,-0.023544653371145276,False,
range_pos60,60,0.004719370090358933,-0.029667200498062596,0.051851673320537466,589,0.5127334465195246,0.03155213086494351,0.014952728812609225,-0.017925491931663953,-0.03493725044921839,-0.034986336744383256,0.04577768205189517,0.002312389245556244,0.011615272492666494,-0.010154534669929733,False,
min_ret20,5,0.08308868319400141,0.06435065264379647,0.10216352831035973,644,0.7934782608695652,0.08669746117671677,0.08983948225549551,0.09262407506967102,0.0743355432769005,0.07926148556223184,0.074493974843646,0.1021630859974051,0.062252782938382774,0.07040395432692816,True,
min_ret20,20,0.11852790286452453,0.08966479362505948,0.15900922105893667,629,0.8426073131955485,0.1229399020102038,0.07974566982013835,0.1219616907846668,0.1215832514787879,0.11553533455694806,0.10293409388135344,0.15002362622799345,0.0894920784273119,0.0995121115375751,True,0.19609993114296065
min_ret20,40,0.1387758990942121,0.09278115171614285,0.17550885884108464,609,0.8587848932676518,0.13891020160061415,0.08876466168195962,0.16569760702196767,0.14583599270071435,0.12476339332802261,0.12463615126859645,0.19439273145802702,0.09506801474280255,0.11531439556498999,True,
min_ret20,60,0.14904096042234882,0.10456849584517419,0.17107456782667324,589,0.9388794567062818,0.13763499482024574,0.1718506615218505,0.1774802987671654,0.15300447255905808,0.14651477586100364,0.1262952225519092,0.20846676234093747,0.0914227396961713,0.12524514023291416,True,
to_trend,5,-0.02965147134943582,-0.043382315455153406,-0.016059964233955004,644,0.38198757763975155,-0.02101046291896927,-0.010655805898415605,-0.028819295642068678,-0.04558249867215325,-0.027799852726445404,-0.03536026361929305,-0.023767086632373882,-0.03885981030674746,-0.02974380668562422,True,
to_trend,20,-0.04298132641757312,-0.062341947697246665,-0.01602812263573828,629,0.3004769475357711,-0.029883769877010108,-0.03259491664782744,-0.049260896703781844,-0.06127165039088433,-0.03791597691210791,-0.049242902970719656,-0.041027786232062984,-0.061804660897106116,-0.038167096074254635,True,-0.07391366998642003
to_trend,40,-0.0383739319862806,-0.06146646007569609,-0.019353292885139643,609,0.26436781609195403,-0.03545817527876975,-0.028237137562749714,-0.04177507460874988,-0.04448155402459755,-0.02966525928949248,-0.05003030275378202,-0.03271600037880869,-0.0617399686469926,-0.031516336530564945,True,
