factor,h,cut,n,ic,lo,hi,pos
mom21,20,mkt_KOSPI,30,-0.059331045502519185,-0.09690948815088989,-0.025003200815567114,0.36666666666666664
mom21,20,mkt_KOSDAQ,30,-0.05850978305333243,-0.09042847560286417,-0.022974829442985182,0.3333333333333333
mom21,60,all_monthly,29,-0.04376916567331784,-0.07830739916875241,-0.013170231002180314,0.41379310344827586
mom21,60,all_daily_block5,589,-0.020311613023819928,-0.03726923144193161,-0.005683413186018939,0.45840407470288624
mom21,60,year_2024,12,-0.04650708768133845,-0.08453684297400157,-0.00999476644544738,0.3333333333333333
mom21,60,year_2025,12,-0.030162581331990016,-0.08512110099778918,0.017997825542786058,0.4166666666666667
mom21,60,year_2026,5,-0.06985395527325514,-0.19914579440581673,0.03900167093028897,0.6
mom21,60,regime_강세,297,-0.015693003155425985,-0.03745499126204936,0.007807044469896008,0.4781144781144781
mom21,60,regime_조정,56,-0.0008407906016401266,-0.030409662952786142,0.03769552619049165,0.625
mom21,60,regime_반등,48,-0.04262711604892786,-0.09370062671112864,-0.006162111150619999,0.3958333333333333
mom21,60,regime_약세,188,-0.02771027813738318,-0.05220368629986951,-0.006231102839557221,0.39361702127659576
mom21,60,mkt_KOSPI,29,-0.03742117606692318,-0.07766845206639046,-0.0021537152574082966,0.41379310344827586
mom21,60,mkt_KOSDAQ,29,-0.05147090318584225,-0.08206205323952558,-0.022472466928164854,0.3793103448275862
mom63,5,all_monthly,31,-0.051355026319257625,-0.09938802631838765,-0.007567646525687436,0.3225806451612903
mom63,5,all_daily_block5,644,-0.03227939172752489,-0.049653994319482135,-0.015850508528260778,0.422360248447205
mom63,5,year_2024,12,-0.056961259838975625,-0.13195757245013745,0.018815889253998276,0.3333333333333333
mom63,5,year_2025,12,-0.06792277084740071,-0.14020340182714727,-0.0025246166495138064,0.25
mom63,5,year_2026,7,-0.013342492522924354,-0.10351672666889729,0.0604181141421043,0.42857142857142855
mom63,5,regime_강세,297,-0.014444942847264435,-0.03780358043102964,0.008770547073698433,0.45791245791245794
mom63,5,regime_조정,56,-0.05249420856229727,-0.11060739802957455,0.0059031027218628615,0.4107142857142857
mom63,5,regime_반등,60,0.00674150763600256,-0.04075970116467692,0.04418313073503443,0.5666666666666667
mom63,5,regime_약세,231,-0.06044413430978355,-0.09142136798526777,-0.028060449487059085,0.341991341991342
mom63,5,mkt_KOSPI,31,-0.05119115310152519,-0.0956019418756505,-0.0062631300318911004,0.3548387096774194
