basket,k,cut,cost_rt,n,ret_per20d,lo,hi,excess_per20d,ew_per20d,win
조용함top20,20,전체,0.0,629,0.008029776717538628,-0.003846720571498058,0.016820612672387096,0.007175188301844576,0.0008545884156940519,0.6009538950715422
조용함top20,20,전체,0.005,629,0.0030297767175386276,-0.008846720571498058,0.011820612672387097,0.007175188301844576,0.0008545884156940519,0.6009538950715422
조용함top20,20,전체,0.008,629,2.9776717538628667e-05,-0.011846720571498057,0.008820612672387094,0.007175188301844576,0.0008545884156940519,0.6009538950715422
조용함top20,20,강세,0.0,297,0.00603726672850131,-0.006606767240501277,0.022252623899887216,0.004308906141965953,0.0017283605865353567,0.5757575757575758
조용함top20,20,강세,0.005,297,0.0010372667285013107,-0.011606767240501277,0.01725262389988722,0.004308906141965953,0.0017283605865353567,0.5757575757575758
조용함top20,20,강세,0.008,297,-0.0019627332714986906,-0.014606767240501277,0.014252623899887214,0.004308906141965953,0.0017283605865353567,0.5757575757575758
조용함top20,20,조정,0.0,56,0.006529223176684346,-0.010754023677306079,0.01623123860326354,-0.005298769548250682,0.011827992724935026,0.6071428571428571
조용함top20,20,조정,0.005,56,0.001529223176684345,-0.01575402367730608,0.011231238603263536,-0.005298769548250682,0.011827992724935026,0.6071428571428571
조용함top20,20,조정,0.008,56,-0.0014707768233156537,-0.018754023677306077,0.008231238603263538,-0.005298769548250682,0.011827992724935026,0.6071428571428571
조용함top20,20,반등,0.0,48,0.01413690949891997,-0.0038369430942659885,0.021838144360379817,0.015134550145283414,-0.0009976406463634445,0.6041666666666666
조용함top20,20,반등,0.005,48,0.009136909498919972,-0.008836943094265989,0.016838144360379816,0.015134550145283414,-0.0009976406463634445,0.6041666666666666
조용함top20,20,반등,0.008,48,0.00613690949891997,-0.01183694309426599,0.013838144360379815,0.015134550145283414,-0.0009976406463634445,0.6041666666666666
조용함top20,20,약세,0.0,228,0.009708127996159763,-0.0043562302959456916,0.0212368534124553,0.012297021953617475,-0.002588893957457713,0.631578947368421
조용함top20,20,약세,0.005,228,0.004708127996159763,-0.009356230295945692,0.016236853412455298,0.012297021953617475,-0.002588893957457713,0.631578947368421
조용함top20,20,약세,0.008,228,0.0017081279961597608,-0.01235623029594569,0.013236853412455299,0.012297021953617475,-0.002588893957457713,0.631578947368421
조용함top20,40,전체,0.0,609,0.007578447015668174,-0.005142556592432094,0.016366441947800105,0.007897042724856897,-0.00031859570918872133,0.6469622331691297
조용함top20,40,전체,0.005,609,0.005078447015668172,-0.007642556592432093,0.013866441947800104,0.007897042724856897,-0.00031859570918872133,0.6469622331691297
조용함top20,40,전체,0.008,609,0.0035784470156681736,-0.00914255659243209,0.012366441947800105,0.007897042724856897,-0.00031859570918872133,0.6469622331691297
조용함top20,40,강세,0.0,297,0.006004039040098569,-0.0018879455212030625,0.017029470773267077,0.0033223414054970035,0.002681697634601567,0.6565656565656566
조용함top20,40,강세,0.005,297,0.003504039040098568,-0.004387945521203063,0.014529470773267076,0.0033223414054970035,0.002681697634601567,0.6565656565656566
조용함top20,40,강세,0.008,297,0.0020040390400985694,-0.005887945521203062,0.013029470773267077,0.0033223414054970035,0.002681697634601567,0.6565656565656566
조용함top20,40,조정,0.0,56,0.00419416268566267,-0.009985810904479406,0.016764180048862078,-0.0049775169371023215,0.009171679622764991,0.5178571428571429
조용함top20,40,조정,0.005,56,0.001694162685662671,-0.012485810904479405,0.01426418004886208,-0.0049775169371023215,0.009171679622764991,0.5178571428571429
조용함top20,40,조정,0.008,56,0.0001941626856626702,-0.013985810904479406,0.01276418004886208,-0.0049775169371023215,0.009171679622764991,0.5178571428571429
조용함top20,40,반등,0.0,48,0.01453997493994054,0.006578339130080587,0.024380991227651038,0.018737509520043775,-0.004197534580103235,0.7916666666666666
조용함top20,40,반등,0.005,48,0.012039974939940537,0.004078339130080587,0.02188099122765104,0.018737509520043775,-0.004197534580103235,0.7916666666666666
조용함top20,40,반등,0.008,48,0.010539974939940541,0.0025783391300805867,0.02038099122765104,0.018737509520043775,-0.004197534580103235,0.7916666666666666
조용함top20,40,약세,0.0,208,0.009131166971723016,-0.002295416224522158,0.017830166915991395,0.015393769776542636,-0.00626260280481962,0.6346153846153846
조용함top20,40,약세,0.005,208,0.006631166971723015,-0.004795416224522158,0.015330166915991397,0.015393769776542636,-0.00626260280481962,0.6346153846153846
조용함top20,40,약세,0.008,208,0.005131166971723015,-0.006295416224522158,0.013830166915991395,0.015393769776542636,-0.00626260280481962,0.6346153846153846
조용함top20,60,전체,0.0,589,0.006273569416456728,-0.0034080630631824877,0.0174596132490429,0.005810814961921933,0.00046275445453479593,0.6706281833616299
조용함top20,60,전체,0.005,589,0.004606902749790062,-0.0050747297298491525,0.015792946582376233,0.005810814961921933,0.00046275445453479593,0.6706281833616299
조용함top20,60,전체,0.008,589,0.0036069027497900633,-0.006074729729849153,0.01479294658237623,0.005810814961921933,0.00046275445453479593,0.6706281833616299
