cut,key,metric,n,mean,lo,hi,pos
type_year,"('buyback_trust', '2026')",exm60,99,0.027755850383389034,-0.015932407693876657,0.07325169136819702,0.27906976744186046
type_year,"('bw', '2023')",pre20,10,0.09611799681691283,-0.061012256520795796,0.28801473266103644,0.6
type_year,"('bw', '2023')",react,10,0.09940551136005879,-0.018164647611208767,0.24553252355805139,0.6
type_year,"('bw', '2023')",ex5,10,0.029957924365417887,-0.05369041924487128,0.14404570046464213,0.4
type_year,"('bw', '2023')",ex20,10,0.09775226054364548,-0.10980952507228457,0.44607722246099757,0.2
type_year,"('bw', '2023')",ex60,10,0.09946173517264721,-0.10381371968649006,0.43169573088129687,0.2
type_year,"('bw', '2023')",raw20,10,0.0597033328366199,-0.14636411282407405,0.4093863299892443,0.2
type_year,"('bw', '2023')",exm20,10,0.08743679663360934,-0.1195889392357627,0.434755486280331,0.2
type_year,"('bw', '2023')",exm60,10,0.07430417029428507,-0.12542823349584775,0.40192279753581056,0.2
type_year,"('bw', '2024')",pre20,23,0.09945624140311994,0.014769618409210646,0.1788938020888677,0.6086956521739131
type_year,"('bw', '2024')",react,23,0.047380219621467504,-0.025913637492971223,0.13322680158173034,0.391304347826087
type_year,"('bw', '2024')",ex5,23,-0.0020263823049355193,-0.03664863734957783,0.04023660274284354,0.34782608695652173
type_year,"('bw', '2024')",ex20,23,-0.018482915561373076,-0.0739519421029973,0.0541904508025516,0.2608695652173913
type_year,"('bw', '2024')",ex60,23,0.09929805488764534,-0.06625927842108068,0.26143873305510784,0.5652173913043478
type_year,"('bw', '2024')",raw20,23,-0.06365400394273223,-0.11460630105530202,0.000982813138645899,0.21739130434782608
type_year,"('bw', '2024')",exm20,23,-0.03840854393659523,-0.09447823473839842,0.03654711406600998,0.2608695652173913
type_year,"('bw', '2024')",exm60,23,0.06139127854058583,-0.1034855359426172,0.22352725372183208,0.4782608695652174
type_year,"('bw', '2025')",pre20,21,-0.0035921002267715434,-0.08566714044913078,0.11402746539234085,0.38095238095238093
type_year,"('bw', '2025')",react,21,0.05797593364086637,-0.00679962380118628,0.14889398037317822,0.6190476190476191
type_year,"('bw', '2025')",ex5,21,0.033992056064127925,0.00498346877411153,0.06132738453663359,0.6190476190476191
type_year,"('bw', '2025')",ex20,21,0.0985668780838853,-0.005089823078705097,0.24839089737880407,0.6190476190476191
type_year,"('bw', '2025')",ex60,20,0.06928902064817263,-0.06013158860919973,0.19502570424834487,0.47619047619047616
type_year,"('bw', '2025')",raw20,21,0.08790448623798267,-0.014738126673671782,0.23224766263195165,0.42857142857142855
type_year,"('bw', '2025')",exm20,21,0.07146494754638247,-0.032551049723244053,0.22139292972529293,0.5238095238095238
type_year,"('bw', '2025')",exm60,20,-0.008512154932462272,-0.13596672326896606,0.11609415426071786,0.38095238095238093
type_year,"('bw', '2026')",pre20,17,0.11260990070150019,-0.03184868198666822,0.2736989744774705,0.5294117647058824
type_year,"('bw', '2026')",react,17,0.05073844811278817,0.006203372876671383,0.09494296876328266,0.7647058823529411
type_year,"('bw', '2026')",ex5,17,-0.0022051567402103364,-0.049201986527808154,0.053344528137883575,0.5294117647058824
type_year,"('bw', '2026')",ex20,16,0.017609856874168356,-0.12058443762263142,0.1764866064326622,0.29411764705882354
type_year,"('bw', '2026')",ex60,14,0.012566181187084278,-0.269537954851047,0.3394632391010609,0.35294117647058826
type_year,"('bw', '2026')",raw20,16,-0.055465248450868254,-0.20575556693818384,0.105408879011306,0.23529411764705882
type_year,"('bw', '2026')",exm20,16,-0.014422273996891707,-0.1528110268010862,0.14025187496769487,0.23529411764705882
